"Event","Latest","Long-Term Repo","Freeze","Date","Week #","Weeks"
"LTR/PR",":rm-past:3.40.0",":rm-past:3.34.12","","2024-10-25","43","4"
"PR",":rm-past:3.40.1",":rm-past:3.34.13","","2024-11-22","47","4"
"PR",":rm-past:3.40.2",":rm-past:3.34.14","","2024-12-20","51","4"
"PR/FF",":rm-past:3.40.3",":rm-past:3.34.15","3.41","2025-01-17","3","5"
"LR/PR",":rm-past:3.42.0",":rm-past:3.40.4","","2025-02-21","8","4"
"PR",":rm-past:3.42.1",":rm-past:3.40.5","","2025-03-21","12","4"
"PR",":rm-past:3.42.2",":rm-past:3.40.6","","2025-04-18","16","4"
"PR/FF",":rm-past:3.42.3",":rm-past:3.40.7","3.43","2025-05-16","20","5"
"LTR/PR",":rm-past:3.44.0",":rm-past:3.40.8","","2025-06-20","25","4"
"PR",":rm-past:3.44.1",":rm-past:3.40.9","","2025-07-18","29","4"
"PR",":rm-past:3.44.2",":rm-past:3.40.10","","2025-08-15","33","4"
"PR",":rm-past:3.44.3",":rm-past:3.40.11",".","2025-09-12","37","6"
":rm-current:PR",":rm-current:3.44.4",":rm-current:3.40.12","","2025-10-24","43","4"
"PR",":rm-next:3.44.5",":rm-next:3.40.13","","2025-11-21","47","4"
"PR",":rm-future:3.44.6",":rm-future:3.40.14","","2025-12-19","51","4"
"PR/FF",":rm-future:3.44.7",":rm-future:3.40.15","3.99","2026-01-16","3","5"
"LR/PR",":rm-future:4.0.0",":rm-future:3.44.8","","2026-02-20","8","4"
"PR",":rm-future:4.0.1",":rm-future:3.44.9","","2026-03-20","12","4"
"PR",":rm-future:4.0.2",":rm-future:3.44.10","","2026-04-17","16","4"
"PR/FF",":rm-future:4.0.3",":rm-future:3.44.11","4.1","2026-05-15","20","5"
"LTR/PR",":rm-future:4.2.0",":rm-future:3.44.12","","2026-06-19","25","4"
"PR",":rm-future:4.2.1",":rm-future:3.44.13","","2026-07-17","29","4"
"PR",":rm-future:4.2.2",":rm-future:3.44.14","","2026-08-14","33","4"
"PR/FF",":rm-future:4.2.3",":rm-future:3.44.15","4.3","2026-09-11","37","5"
"LR/PR",":rm-future:4.4.0",":rm-future:4.2.4","","2026-10-16","42","4"
"PR",":rm-future:4.4.1",":rm-future:4.2.5","","2026-11-13","46","4"
"PR",":rm-future:4.4.2",":rm-future:4.2.6","","2026-12-11","50","4"
"PR/FF",":rm-future:4.4.3",":rm-future:4.2.7","4.5","2027-01-08","2","6"
"LR/PR",":rm-future:4.6.0",":rm-future:4.2.8","","2027-02-19","8","4"
"PR",":rm-future:4.6.1",":rm-future:4.2.9","","2027-03-19","12","4"
"PR",":rm-future:4.6.2",":rm-future:4.2.10","","2027-04-16","16","4"
"PR/FF",":rm-future:4.6.3",":rm-future:4.2.11","4.7","2027-05-14","20","5"
"LR/PR",":rm-future:4.8.0",":rm-future:4.6.4","","2027-06-18","25","4"
"PR",":rm-future:4.8.1",":rm-future:4.6.5","","2027-07-16","29","4"
"PR",":rm-future:4.8.2",":rm-future:4.6.6","","2027-08-13","33","4"
"PR/FF",":rm-future:4.8.3",":rm-future:4.6.7","4.9","2027-09-10","37","5"
"LTR/PR",":rm-future:4.10.0",":rm-future:4.6.8","","2027-10-15","42","4"
"PR",":rm-future:4.10.1",":rm-future:4.6.9","","2027-11-12","46","4"
"PR",":rm-future:4.10.2",":rm-future:4.6.10","","2027-12-10","50","4"
"PR/FF",":rm-future:4.10.3",":rm-future:4.6.11","4.11","2028-01-07","2","6"
"LR/PR",":rm-future:4.12.0",":rm-future:4.6.12","","2028-02-18","8","4"
"PR",":rm-future:4.12.1",":rm-future:4.6.13","","2028-03-17","12","4"
"PR",":rm-future:4.12.2",":rm-future:4.6.14","","2028-04-14","16","4"
"PR/FF",":rm-future:4.12.3",":rm-future:4.6.15","4.13","2028-05-12","20","5"

